NAME_BON_LEECH;NGCLF_2H_AXE;Vampirgroßaxt,2;Vampirenthaupter,1;
NAME_BON_DMG_FIRE;NGCLF_2H_AXE;Glutgroßaxt,2;Feuerkriegsaxt,2;
NAME_BON_DMG_ICE;NGCLF_2H_AXE;Frostgroßaxt,2;Eisgroßspalter,1;Frostkriegsaxt,2
NAME_BON_DMG_POISON;NGCLF_2H_AXE;Giftgroßaxt,2;Giftgroßspalter,1;Giftkriegsaxt,2
NAME_BON_DMG_ARCANE;NGCLF_2H_AXE;Magiegroßaxt,2;Magiekriegsaxt,2;
NAME_BON_CRITICAL;NGCLF_2H_AXE;Präzisionsgroßaxt,2;Präzisionskriegsaxt,2;
NAME_BON_LEECH;NGCLF_2H_HAMMER;Vampirgroßhammer,1;Vampirkriegshammer,1;
NAME_BON_DMG_FIRE;NGCLF_2H_HAMMER;Feuergroßhammer,1;Feuerkriegshammer,1;
NAME_BON_DMG_ICE;NGCLF_2H_HAMMER;Eisgroßhammer,1;Eiskriegshammer,1;
NAME_BON_DMG_POISON;NGCLF_2H_HAMMER;Giftgroßhammer,1;Giftkriegshammer,1;
NAME_BON_DMG_ARCANE;NGCLF_2H_HAMMER;Magiegroßhammer,1;Magiekriegshammer,1;
NAME_BON_CRITICAL;NGCLF_2H_HAMMER;Präzisionshammer,2;;
NAME_BON_LEECH;NGCLF_2H_SWORD;Vampirgroßklinge,2;Vampirkriegsklinge,2;
NAME_BON_DMG_FIRE;NGCLF_2H_SWORD;Feuerbihänder,1;Feuergroßklinge,2;Feuerkriegsklinge,2
NAME_BON_DMG_ICE;NGCLF_2H_SWORD;Eisbihänder,1;Eisgroßklinge,2;Eiskriegsklinge,2
NAME_BON_DMG_POISON;NGCLF_2H_SWORD;Giftbihänder,1;Giftgroßklinge,2;Giftkriegsklinge,2
NAME_BON_DMG_ARCANE;NGCLF_2H_SWORD;Magiebihänder,1;Magiegroßklinge,2;Magiekriegsklinge,2
NAME_BON_CRITICAL;NGCLF_2H_SWORD;Präzisionsbihänder,2;Präzisionsgroßklinge,1;Präzisionskriegsklinge,2
NAME_BON_DROP;NGCLF_AMULET;Glücksamulett,3;Glücksanhänger,1;Glückstalisman,1
NAME_BON_DEF_FIRE;NGCLF_AMULET;Feueramulett,3;Feueranhänger,1;Feuertalisman,3
NAME_BON_DEF_ICE;NGCLF_AMULET;Eisamulett,3;Eisanhänger,1;Eistalisman,3
NAME_BON_DEF_POISON;NGCLF_AMULET;Giftamulett,3;Giftanhänger,1;Gifttalisman,3
NAME_BON_DEF_ARCANE;NGCLF_AMULET;Magieamulett,3;Magieanhänger,1;Magietalisman,3
NAME_BON_LEECH;NGCLF_AXE;Vampiraxt,2;Vampirbeil,3;
NAME_BON_DMG_FIRE;NGCLF_AXE;Feueraxt,2;Feuerbeil,3;
NAME_BON_DMG_ICE;NGCLF_AXE;Eisaxt,2;Eisbeil,3;
NAME_BON_DMG_POISON;NGCLF_AXE;Giftaxt,2;Giftbeil,3;
NAME_BON_DMG_ARCANE;NGCLF_AXE;Magieaxt,2;Magiebeil,3;
NAME_BON_CRITICAL;NGCLF_AXE;Präzisionsaxt,2;Präzisionsbeil,2;
NAME_BON_LEECH;NGCLF_BASTARDSWORD;Vampirschlachtklinge,2;Vampirklinge,2;
NAME_BON_DMG_FIRE;NGCLF_BASTARDSWORD;Feuerklinge,2;Feuerklinge,2;
NAME_BON_DMG_ICE;NGCLF_BASTARDSWORD;Eisklinge,2;Eisklinge,2;
NAME_BON_DMG_POISON;NGCLF_BASTARDSWORD;Giftklinge,2;Giftklinge,2;
NAME_BON_DMG_ARCANE;NGCLF_BASTARDSWORD;Magieklinge,2;Magieklinge,2;
NAME_BON_CRITICAL;NGCLF_BASTARDSWORD;Präzisionsklinge,2;Präzisionsklinge,2;
NAME_BON_DROP;NGCLF_BELT_LIGHT;Glücksschärpe,2;Glücksgürtel,1;Glücksgurt,1
NAME_BON_DEF_FIRE;NGCLF_BELT_LIGHT;Feuerschärpe,2;Feuergürtel,1;Feuerhüftgurt,1
NAME_BON_DEF_ICE;NGCLF_BELT_LIGHT;Eisschärpe,2;Eisgürtel,1;Eishüftgurt,1
NAME_BON_DEF_POISON;NGCLF_BELT_LIGHT;Giftschärpe,2;Giftgürtel,1;Gifthüftgurt,1
NAME_BON_DEF_ARCANE;NGCLF_BELT_LIGHT;Magieschärpe,2;Magiegürtel,1;Magiehüftgurt,1
NAME_BON_LEECH;NGCLF_BLOWGUN;Vampirblasrohr,3;Vampirbambusrohr,3;Vampirblasrohr,3
NAME_BON_DMG_FIRE;NGCLF_BLOWGUN;Feuerblasrohr,3;Feuerbambusrohr,3;Feuerblasrohr,3
NAME_BON_DMG_ICE;NGCLF_BLOWGUN;Eisblasrohr,3;Eisbambusrohr,3;Eisblasrohr,3
NAME_BON_DMG_POISON;NGCLF_BLOWGUN;Giftblasrohr,3;Giftbambusrohr,3;Giftblasrohr,3
NAME_BON_DMG_ARCANE;NGCLF_BLOWGUN;Magieblasrohr,3;Magiebambusrohr,3;Magieblasrohr,3
NAME_BON_CRITICAL;NGCLF_BLOWGUN;Präzisionsblasrohr,3;;
NAME_BON_DROP;NGCLF_BOOT_HEAVY;Glücksplattenschuhe,2;Glücksplattenstiefel,2;Glücksstiefel,2
